SEMESTER 1			SEMESTER 2
AIF203-4	Struktur Diskrit	A	141	AIF208-4	Rekayasa Perangkat Lunak	D	122
AIF205-3	Arsitektur & Organisasi Komputer	A	121	AIF210-2	Interaksi Manusia Komputer	B	122
AMS200-3	Probabilitas & Statistika	B	122	AIF292-3	Desain & Analisis Algoritma	B	122
MKU004-2	Pendidikan Agama (fenomenologi)	B	141	AIF294-3	Manajemen Informasi & Basis Data	C	121
MKU012-2	Logika	A	122				

SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	C	111	AIF104-3	Logika Informatika	C	112
AIF105-3	Pengantar Informatika	C	111	AIF106-3	Sistem Dijital	C	112
AIF191-3	Pemrograman Berorientasi Objek	D-D-B	111-112-122	AIF192-3	Algoritma & Struktur Data	D	121
MKU001-2	Pendidikan Pancasila	C	111	AMS190-3	Matematika Informatika	E-A	112-124
MKU008-2	Etika	C	111	MKU009-2	Bahasa Indonesia	C	132
MKU010-2	Bahasa Inggris	C	112	MKU011-2	Estetika	A	121

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	C	121	AIF206-4	Sistem Operasi	B	121
AIF205-3	Arsitektur & Organisasi Komputer	B	121	AIF208-4	Rekayasa Perangkat Lunak	D	122
AMS200-3	Probabilitas & Statistika	B	122	AIF210-2	Interaksi Manusia Komputer	B	122
MKU004-2	Pendidikan Agama (fenomenologi)	B	131	AIF292-3	Desain & Analisis Algoritma	B	122
MKU012-2	Logika	B	131	AIF294-3	Manajemen Informasi & Basis Data	C	121

SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	C	111	AIF104-3	Logika Informatika	C	112
AIF105-3	Pengantar Informatika	A	111	AIF106-3	Sistem Dijital	D	112
AIF191-3	Pemrograman Berorientasi Objek	A	111	AIF192-3	Algoritma & Struktur Data	B	121
MKU001-2	Pendidikan Pancasila	C	111	AMS100-4	Matematika Informatika	B	111
MKU008-2	Etika	B	111	MKU009-2	Bahasa Indonesia	D	132
MKU010-2	Bahasa Inggris	A	112	MKU011-2	Estetika	B	121

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	A	121	AIF206-4	Sistem Operasi	B	121
AIF203-4	Struktur Diskrit	B	141	AIF208-4	Rekayasa Perangkat Lunak	C	122
AIF205-3	Arsitektur & Organisasi Komputer	B	121	AIF210-2	Interaksi Manusia Komputer	B	122
AMS200-3	Probabilitas & Statistika	C	122	AIF292-3	Desain & Analisis Algoritma	B	122
MKU004-2	Pendidikan Agama (fenomenologi)	B	114	AIF294-3	Manajemen Informasi & Basis Data	C	121
MKU012-2	Logika	A	114				

SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	D-A	111-114	AIF104-3	Logika Informatika	A	112
AIF105-3	Pengantar Informatika	B	111	AIF106-3	Sistem Dijital	B	112
AIF191-3	Pemrograman Berorientasi Objek	C	111	AIF192-3	Algoritma & Struktur Data	C	121
MKU001-2	Pendidikan Pancasila	A	111	AMS100-4	Matematika Informatika	A	111
MKU008-2	Etika	C	111	MKU009-2	Bahasa Indonesia	B	131
MKU010-2	Bahasa Inggris	A	112	MKU011-2	Estetika	A	121

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	A	121	AIF206-4	Sistem Operasi	A	121
AIF205-3	Arsitektur & Organisasi Komputer	A	121	AIF208-4	Rekayasa Perangkat Lunak	C	122
AMS200-3	Probabilitas & Statistika	B	122	AIF210-2	Interaksi Manusia Komputer	A	122
MKU004-2	Pendidikan Agama (fenomenologi)	A	114	AIF292-3	Desain & Analisis Algoritma	C	122
MKU012-2	Logika	B	122	AIF294-3	Manajemen Informasi & Basis Data	C	121

SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	C	111	AIF102-4	Algoritma & Struktur Data	E-C	122-132
AIF105-3	Pengantar Informatika	B	111	AIF104-3	Logika Informatika	B	112
AIF191-3	Pemrograman Berorientasi Objek	D-C	111-124	AIF106-3	Sistem Dijital	C	112
MKU001-2	Pendidikan Pancasila	D-B	111-114	AIF192-3	Algoritma & Struktur Data [X]	E	121
MKU008-2	Etika	C	111	AMS100-4	Matematika Informatika	B	111
MKU010-2	Bahasa Inggris	D	112	MKU009-2	Bahasa Indonesia	C	131
				MKU011-2	Estetika	B	122

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	B	121	AIF202-4	Desain & Analisis Algoritma	C	141
AIF203-4	Struktur Diskrit <<	B	151	AIF206-4	Sistem Operasi	C	121
AIF205-3	Arsitektur & Organisasi Komputer	B	121	AIF208-4	Rekayasa Perangkat Lunak	D	122
AMS200-3	Probabilitas & Statistika	D-C	122-141	AIF210-2	Interaksi Manusia Komputer	C	122
MKU003-2	Pendidikan Agama (katolik)	A	122	AIF294-3	Manajemen Informasi & Basis Data	E-B	121-124
MKU012-2	Logika	B	114				

SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	B	111	AIF104-3	Logika Informatika	B	112
AIF105-3	Pengantar Informatika	A	111	AIF106-3	Sistem Dijital	B	112
AIF191-3	Pemrograman Berorientasi Objek	B	111	AIF192-3	Algoritma & Struktur Data	D	121
MKU001-2	Pendidikan Pancasila	B	111	AMS100-4	Matematika Informatika	A	111
MKU008-2	Etika	A	111	MKU009-2	Bahasa Indonesia	B	132
MKU010-2	Bahasa Inggris	A	112	MKU011-2	Estetika	C	122

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	A	121	AIF206-4	Sistem Operasi	B	121
AIF205-3	Arsitektur & Organisasi Komputer	B	121	AIF208-4	Rekayasa Perangkat Lunak	C	122
