SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	D	101	AIF102-4	Algoritma & Struktur Data	D	131
AIF105-3	Pengantar Informatika	D-A	101-104	AIF104-3	Logika Informatika	B	102
AIF181-3	Dasar-dasar Pemrograman	D	102	AIF106-3	Sistem Dijital	C	102
AIF191-3	Pemrograman Berorientasi Objek	D-B	101-104	AIF182-2	Pengantar Basis Data	C	102
MKU001-2	Pendidikan Pancasila	C	101	AIF192-3	Algoritma & Struktur Data [X]	E	111
MKU008-2	Etika	C	101	AMS190-3	Matematika Informatika	E-A	102-114
MKU010-2	Bahasa Inggris	E-D	112-121	AMS191-4	Kalkulus	D	101
				MKU009-2	Bahasa Indonesia	B	122
				MKU011-2	Estetika	C	111

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	C	111	AIF202-4	Desain & Analisis Algoritma	C	132
AIF205-3	Arsitektur & Organisasi Komputer	C	111	AIF206-4	Sistem Operasi	D-B	111-124
AIF281-2	Pengenalan Bidang Ilmu Teknologi Informasi	B	111	AIF210-2	Interaksi Manusia Komputer	C	112
AMS200-3	Probabilitas & Statistika	D-A	112-114	AIF280-1	Praktika Interaksi Manusia Komputer	C	112
MKU003-2	Pendidikan Agama (katolik)	A	102	AIF292-3	Desain & Analisis Algoritma [X]	E	122
MKU012-2	Logika	B	104	AIF294-3	Manajemen Informasi & Basis Data	D	111

SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	B	101	AIF102-4	Algoritma & Struktur Data	D	131
AIF105-3	Pengantar Informatika	B	101	AIF104-3	Logika Informatika	B	102
AIF181-3	Dasar-dasar Pemrograman	C	101	AIF106-3	Sistem Dijital	B	102
AIF191-3	Pemrograman Berorientasi Objek	B	102	AIF182-2	Pengantar Basis Data	B	102
MKU001-2	Pendidikan Pancasila	A	101	AIF192-3	Algoritma & Struktur Data [X]	E	111
MKU008-2	Etika	A	101	AMS100-4	Matematika Informatika	B	101
MKU010-2	Bahasa Inggris	B	112	AMS290-3	Aljabar Linear & Matriks	D-C	102-114
				MKU009-2	Bahasa Indonesia	D	122
				MKU011-2	Estetika	B	111

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	B	111	AIF206-4	Sistem Operasi	D-C	111-121
AIF205-3	Arsitektur & Organisasi Komputer	B	111	AIF210-2	Interaksi Manusia Komputer	E-B	112-132
AIF281-2	Pengenalan Bidang Ilmu Teknologi Informasi	C	111	AIF280-1	Praktika Interaksi Manusia Komputer [X]	E	112
AMS200-3	Probabilitas & Statistika	C	112	AIF292-3	Desain & Analisis Algoritma	E-D	112-122
MKU003-2	Pendidikan Agama (katolik)	B	102	AIF294-3	Manajemen Informasi & Basis Data	C	111
MKU012-2	Logika	A	114				

SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	D-B	101-124	AIF102-4	Algoritma & Struktur Data	E-D	122-131
AIF105-3	Pengantar Informatika	D-C	101-141	AIF104-3	Logika Informatika	D-B	102-134
AIF181-3	Dasar-dasar Pemrograman	E-D-E	102-104-112	AIF106-3	Sistem Dijital	D-D	102-142
AIF191-3	Pemrograman Berorientasi Objek	D-B	101-124	AIF182-2	Pengantar Basis Data	D	102
MKU001-2	Pendidikan Pancasila	B	101	AIF192-3	Algoritma & Struktur Data [X]	E	111
MKU008-2	Etika	B	101	AMS100-4	Matematika Informatika	E-E-B	101-111-114
MKU010-2	Bahasa Inggris	D-B	102-141	AMS290-3	Aljabar Linear & Matriks	E-E-B	102-104-114
				MKU009-2	Bahasa Indonesia	D	132
				MKU011-2	Estetika	B	112

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	C	121	AIF202-4	Desain & Analisis Algoritma	D	132
AIF203-4	Struktur Diskrit	C	141	AIF204-4	Manajemen Informasi & Basis Data	D	132
AIF205-3	Arsitektur & Organisasi Komputer	E-B	111-121	AIF206-4	Sistem Operasi	D-C	111-142
